schema_version,record_type,source_name,source_url,startup_name,product_name,pricing_model,description,website,category,collected_at
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/leadgenius,LeadGenius,LeadGenius,UNKNOWN,LeadGenius is an account-based marketing and lead generation…,http://leadgenius.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/plivo,Plivo,Plivo,UNKNOWN,"Voice AI Agents for customer engagement, including WhatsApp, SMS &…",https://plivo.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/radar,RADAR,RADAR,UNKNOWN,RADAR is building technology to completely transform the in-store…,https://goradar.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/cruise,Cruise,Cruise,UNKNOWN,Self-driving cars.,http://getcruise.com,Industrials,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/mixerbox,MixerBox,MixerBox,UNKNOWN,AI Super-Apps to Live Easier | The anything anytime superapps…,http://mixerbox.com,Consumer,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/akido-labs,Akido Labs,Akido Labs,UNKNOWN,Rebuilding healthcare with AI at the core,http://akidolabs.com,Healthcare,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/paperspace,Paperspace,Paperspace,UNKNOWN,Paperspace is a cloud platform for building and scaling AI…,https://www.paperspace.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/smarking,Smarking,Smarking,UNKNOWN,Digitize $655B parking industry,http://smarking.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/resolve,Resolve,Resolve,UNKNOWN,Software to accelerate construction by finding issues in 3D BIM,https://www.resolvebim.com,Real Estate and Construction,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/sigopt,SigOpt,SigOpt,UNKNOWN,SigOpt is an Optimization-as-a-Service platform that seamlessly tunes…,https://sigopt.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/tara-ai,Tara AI,Tara AI,UNKNOWN,"Meet Tara AI, your new engineering efficiency co-pilot.",http://www.tara.ai,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/snapmagic,SnapMagic,SnapMagic,UNKNOWN,AI-assisted electronics design,https://www.snapmagic.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/microhealth,Microhealth,Microhealth,UNKNOWN,Rare Disease-Focused Care Delivery and Evidence Generation Platform,http://microhealth.com,Healthcare,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/deepgram,Deepgram,Deepgram,UNKNOWN,Building foundational AI for speech transcription and understanding.,https://www.deepgram.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/daily,Daily,Daily,UNKNOWN,Conversational Voice and Multimodal AI built with Open Source ,https://daily.co,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/netomi,Netomi,Netomi,UNKNOWN,Self-Driving Customer Care,https://netomi.com,B2B,2026-08-30T11:51:01.976593+00:00
1.0,PRODUCT,Y Combinator Company Directory (yc-oss mirror),https://www.ycombinator.com/companies/podium,Podium,Podium,UNKNOWN,Get more leads. Make more money. ,https://podium.com,B2B,2026-08-30T11:51:01.976593+00:00
